,Emotion,Source,Path,Sex
18,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IEO_NEU_XX.wav,Male
19,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IEO_SAD_HI.wav,Male
20,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IEO_SAD_LO.wav,Male
21,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IEO_SAD_MD.wav,Male
22,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_ANG_XX.wav,Male
23,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_DIS_XX.wav,Male
24,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_FEA_XX.wav,Male
25,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_HAP_XX.wav,Male
26,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_NEU_XX.wav,Male
27,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_SAD_XX.wav,Male
28,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_ANG_XX.wav,Male
29,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_DIS_XX.wav,Male
30,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav,Male
31,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_HAP_XX.wav,Male
32,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_NEU_XX.wav,Male
33,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_SAD_XX.wav,Male
34,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_ANG_XX.wav,Male
35,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_DIS_XX.wav,Male
36,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_FEA_XX.wav,Male
37,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_HAP_XX.wav,Male
38,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_NEU_XX.wav,Male
39,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_SAD_XX.wav,Male
40,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_ANG_XX.wav,Male
41,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_DIS_XX.wav,Male
42,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_FEA_XX.wav,Male
43,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_HAP_XX.wav,Male
44,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_NEU_XX.wav,Male
45,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_SAD_XX.wav,Male
46,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_ANG_XX.wav,Male
47,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_DIS_XX.wav,Male
48,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_FEA_XX.wav,Male
49,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_HAP_XX.wav,Male
50,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_NEU_XX.wav,Male
51,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_SAD_XX.wav,Male
52,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_ANG_XX.wav,Male
53,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_DIS_XX.wav,Male
54,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_FEA_XX.wav,Male
55,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_HAP_XX.wav,Male
56,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_NEU_XX.wav,Male
57,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_SAD_XX.wav,Male
58,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_ANG_XX.wav,Male
59,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_DIS_XX.wav,Male
60,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_FEA_XX.wav,Male
61,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_HAP_XX.wav,Male
62,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_NEU_XX.wav,Male
63,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_SAD_XX.wav,Male
64,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_ANG_XX.wav,Male
65,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_DIS_XX.wav,Male
66,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_FEA_XX.wav,Male
67,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_HAP_XX.wav,Male
68,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_NEU_XX.wav,Male
69,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_SAD_XX.wav,Male
70,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_ANG_XX.wav,Male
71,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_DIS_XX.wav,Male
72,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_FEA_XX.wav,Male
73,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_HAP_XX.wav,Male
74,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_NEU_XX.wav,Male
75,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_SAD_XX.wav,Male
76,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_ANG_XX.wav,Male
77,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_DIS_XX.wav,Male
78,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_FEA_XX.wav,Male
79,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_HAP_XX.wav,Male
80,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_NEU_XX.wav,Male
81,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_SAD_XX.wav,Male
82,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_ANG_XX.wav,Female
83,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_DIS_XX.wav,Female
84,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_FEA_XX.wav,Female
85,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_HAP_XX.wav,Female
86,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_NEU_XX.wav,Female
87,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_SAD_XX.wav,Female
88,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_HI.wav,Female
89,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_LO.wav,Female
90,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_MD.wav,Female
91,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_HI.wav,Female
92,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_LO.wav,Female
93,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_MD.wav,Female
94,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_HI.wav,Female
95,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_LO.wav,Female
96,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_MD.wav,Female
97,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_HI.wav,Female
98,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_LO.wav,Female
99,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_MD.wav,Female
100,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_NEU_XX.wav,Female
101,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_HI.wav,Female
102,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_LO.wav,Female
103,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_MD.wav,Female
104,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_ANG_XX.wav,Female
105,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_DIS_XX.wav,Female
106,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_FEA_XX.wav,Female
107,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_HAP_XX.wav,Female
108,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_NEU_XX.wav,Female
109,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_SAD_XX.wav,Female
110,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_ANG_XX.wav,Female
111,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_DIS_XX.wav,Female
112,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_FEA_XX.wav,Female
113,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_HAP_XX.wav,Female
114,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_NEU_XX.wav,Female
115,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_SAD_XX.wav,Female
116,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_ANG_XX.wav,Female
117,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_DIS_XX.wav,Female
118,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_FEA_XX.wav,Female
119,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_HAP_XX.wav,Female
120,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_NEU_XX.wav,Female
121,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_SAD_XX.wav,Female
122,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_ANG_XX.wav,Female
123,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_DIS_XX.wav,Female
124,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_FEA_XX.wav,Female
125,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_HAP_XX.wav,Female
126,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_NEU_XX.wav,Female
127,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_SAD_XX.wav,Female
128,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_ANG_XX.wav,Female
129,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_DIS_XX.wav,Female
130,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_FEA_XX.wav,Female
131,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_HAP_XX.wav,Female
132,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_NEU_XX.wav,Female
133,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_SAD_XX.wav,Female
134,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_ANG_XX.wav,Female
135,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_DIS_XX.wav,Female
136,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_FEA_XX.wav,Female
137,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_HAP_XX.wav,Female
138,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_NEU_XX.wav,Female
139,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_MTI_SAD_XX.wav,Female
140,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_TAI_ANG_XX.wav,Female
141,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_TAI_DIS_XX.wav,Female
142,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_TAI_FEA_XX.wav,Female
