,Unnamed: 0,Emotion,Source,Path,Sex,Duration
27,27,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IOM_SAD_XX.wav,Male,1.9
28,28,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_ANG_XX.wav,Male,2.4
29,29,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_DIS_XX.wav,Male,2.2
30,30,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav,Male,2.1
31,31,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_HAP_XX.wav,Male,2.5
32,32,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_NEU_XX.wav,Male,2.6
33,33,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITH_SAD_XX.wav,Male,2.4
34,34,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_ANG_XX.wav,Male,2.6
35,35,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_DIS_XX.wav,Male,2.2
36,36,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_FEA_XX.wav,Male,2.1
37,37,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_HAP_XX.wav,Male,2.2
38,38,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_NEU_XX.wav,Male,2.4
39,39,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_ITS_SAD_XX.wav,Male,2.7
40,40,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_ANG_XX.wav,Male,3.2
41,41,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_DIS_XX.wav,Male,2.6
42,42,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_FEA_XX.wav,Male,2.4
43,43,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_HAP_XX.wav,Male,2.1
44,44,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_NEU_XX.wav,Male,2.8
45,45,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWL_SAD_XX.wav,Male,2.8
46,46,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_ANG_XX.wav,Male,2.3
47,47,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_DIS_XX.wav,Male,2.1
48,48,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_FEA_XX.wav,Male,2.2
49,49,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_HAP_XX.wav,Male,2.0
50,50,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_NEU_XX.wav,Male,2.3
51,51,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_IWW_SAD_XX.wav,Male,2.0
52,52,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_ANG_XX.wav,Male,3.0
53,53,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_DIS_XX.wav,Male,2.9
54,54,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_FEA_XX.wav,Male,2.4
55,55,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_HAP_XX.wav,Male,2.4
56,56,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_NEU_XX.wav,Male,2.3
57,57,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_MTI_SAD_XX.wav,Male,2.3
58,58,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_ANG_XX.wav,Male,2.3
59,59,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_DIS_XX.wav,Male,2.7
60,60,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_FEA_XX.wav,Male,2.4
61,61,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_HAP_XX.wav,Male,2.5
62,62,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_NEU_XX.wav,Male,2.6
63,63,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TAI_SAD_XX.wav,Male,2.8
64,64,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_ANG_XX.wav,Male,3.1
65,65,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_DIS_XX.wav,Male,2.2
66,66,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_FEA_XX.wav,Male,2.2
67,67,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_HAP_XX.wav,Male,2.3
68,68,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_NEU_XX.wav,Male,2.5
69,69,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TIE_SAD_XX.wav,Male,3.0
70,70,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_ANG_XX.wav,Male,2.5
71,71,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_DIS_XX.wav,Male,2.2
72,72,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_FEA_XX.wav,Male,1.9
73,73,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_HAP_XX.wav,Male,2.2
74,74,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_NEU_XX.wav,Male,2.4
75,75,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_TSI_SAD_XX.wav,Male,2.5
76,76,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_ANG_XX.wav,Male,2.7
77,77,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_DIS_XX.wav,Male,2.7
78,78,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_FEA_XX.wav,Male,2.3
79,79,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_HAP_XX.wav,Male,2.3
80,80,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_NEU_XX.wav,Male,2.7
81,81,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1001_WSI_SAD_XX.wav,Male,2.3
82,82,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_ANG_XX.wav,Female,2.6
83,83,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_DIS_XX.wav,Female,2.5
84,84,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_FEA_XX.wav,Female,2.7
85,85,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_HAP_XX.wav,Female,2.2
86,86,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_NEU_XX.wav,Female,2.5
87,87,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_DFA_SAD_XX.wav,Female,2.4
88,88,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_HI.wav,Female,2.7
89,89,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_LO.wav,Female,2.4
90,90,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_ANG_MD.wav,Female,2.8
91,91,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_HI.wav,Female,3.0
92,92,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_LO.wav,Female,2.9
93,93,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_DIS_MD.wav,Female,2.6
94,94,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_HI.wav,Female,3.2
95,95,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_LO.wav,Female,2.6
96,96,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_FEA_MD.wav,Female,1.9
97,97,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_HI.wav,Female,2.5
98,98,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_LO.wav,Female,2.8
99,99,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_HAP_MD.wav,Female,2.3
100,100,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_NEU_XX.wav,Female,2.6
101,101,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_HI.wav,Female,2.7
102,102,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_LO.wav,Female,2.3
103,103,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IEO_SAD_MD.wav,Female,2.4
104,104,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_ANG_XX.wav,Female,2.8
105,105,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_DIS_XX.wav,Female,2.8
106,106,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_FEA_XX.wav,Female,2.6
107,107,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_HAP_XX.wav,Female,2.3
108,108,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_NEU_XX.wav,Female,2.3
109,109,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IOM_SAD_XX.wav,Female,2.7
110,110,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_ANG_XX.wav,Female,2.9
111,111,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_DIS_XX.wav,Female,3.8
112,112,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_FEA_XX.wav,Female,3.5
113,113,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_HAP_XX.wav,Female,2.8
114,114,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_NEU_XX.wav,Female,2.5
115,115,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITH_SAD_XX.wav,Female,2.7
116,116,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_ANG_XX.wav,Female,2.7
117,117,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_DIS_XX.wav,Female,2.8
118,118,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_FEA_XX.wav,Female,2.5
119,119,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_HAP_XX.wav,Female,2.4
120,120,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_NEU_XX.wav,Female,2.3
121,121,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_ITS_SAD_XX.wav,Female,2.6
122,122,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_ANG_XX.wav,Female,2.6
123,123,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_DIS_XX.wav,Female,3.1
124,124,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_FEA_XX.wav,Female,3.2
125,125,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_HAP_XX.wav,Female,2.9
126,126,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_NEU_XX.wav,Female,2.6
127,127,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWL_SAD_XX.wav,Female,2.7
128,128,angry,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_ANG_XX.wav,Female,2.4
129,129,disgust,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_DIS_XX.wav,Female,3.1
130,130,fear,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_FEA_XX.wav,Female,2.6
131,131,happy,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_HAP_XX.wav,Female,2.5
132,132,neutral,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_NEU_XX.wav,Female,2.5
133,133,sad,CREMA,/content/drive/MyDrive/Colab Notebooks/almabetter pro materials/Capstone Projects/My Capstone Projects/SER/Data/CREMA-D/AudioWAV/1002_IWW_SAD_XX.wav,Female,2.4
